repo,pr_number,sha,sha_short,message,url
FNF-Phoenix-Engine,9,9e12696349944743295cc02ee2fdcfe10eb96066,9e12696,"Fix failing workflows, build artifact paths, and cache system",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/9e12696349944743295cc02ee2fdcfe10eb96066
FNF-Phoenix-Engine,9,1174eb2f22d33147524fbe7fa486422c13aee988,1174eb2,"Fix failing workflows, build artifact paths, and cache system",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/1174eb2f22d33147524fbe7fa486422c13aee988
FNF-Phoenix-Engine,8,5efeff7a7f487a6df92ba71fa37f90dc95f02f33,5efeff7,Speed up native build workflows,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/5efeff7a7f487a6df92ba71fa37f90dc95f02f33
FNF-Phoenix-Engine,7,6cee5073a5c575caba7ecf6f185a9de0ab4ecd1e,6cee507,fix: ship bf clicker mod in build outputs,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/6cee5073a5c575caba7ecf6f185a9de0ab4ecd1e
FNF-Phoenix-Engine,6,d59a2913ccc205ba8eb906a6cde4b1e2a1f091a9,d59a291,fixed readme for the branch,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/d59a2913ccc205ba8eb906a6cde4b1e2a1f091a9
FNF-Phoenix-Engine,6,20e8d670af6c697566b0e80d108894d3dd1ee85f,20e8d67,Merge branch 'JordanSantiagoYT:main' into bottlenecks,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/20e8d670af6c697566b0e80d108894d3dd1ee85f
FNF-Phoenix-Engine,6,61a87ee7b1fa3f32fa8b263d4f99ec10d0609fe1,61a87ee,Merge branch 'JordanSantiagoYT:main' into bottlenecks,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/61a87ee7b1fa3f32fa8b263d4f99ec10d0609fe1
FNF-Phoenix-Engine,6,5870b8ce5725365c1e6422b426b48e9e32c2e147,5870b8c,Merge branch 'main' into bottlenecks,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/5870b8ce5725365c1e6422b426b48e9e32c2e147
FNF-Phoenix-Engine,6,ba3ee2979fa16b1f258aed5a194b1669a349f5d1,ba3ee29,Merge Rain FX toggle into global shaders toggle,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/ba3ee2979fa16b1f258aed5a194b1669a349f5d1
FNF-Phoenix-Engine,5,87e4d85da9331ac5635444f7b2dd9ab56b41a975,87e4d85,feat: add Python script modding via Hython,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/87e4d85da9331ac5635444f7b2dd9ab56b41a975
FNF-Phoenix-Engine,5,8e2373509e7c80adf192e53b00926387c4ee3083,8e23735,feat: add pure-Python BF Clicker mod,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/8e2373509e7c80adf192e53b00926387c4ee3083
FNF-Phoenix-Engine,5,ba654a1c5cef6f98eff84ec64f2ede4cce26cc99,ba654a1,fix(build): pin hxcpp to git on Windows MSVC,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/ba654a1c5cef6f98eff84ec64f2ede4cce26cc99
FNF-Phoenix-Engine,5,510bf7844707d7f54ea663de9d69bc21935a6793,510bf78,Merge branch 'main' into the-fearsome-python-experiment,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/510bf7844707d7f54ea663de9d69bc21935a6793
FNF-Phoenix-Engine,4,f31204edb535a90803dab944a9effbe3aae92503,f31204e,some mobile stuffs,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/f31204edb535a90803dab944a9effbe3aae92503
FNF-Phoenix-Engine,4,95118097c8dbafa8e0f38211d610c01f6f40c6fe,9511809,"they are using homu's lime huh, that makes my life easier",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/95118097c8dbafa8e0f38211d610c01f6f40c6fe
FNF-Phoenix-Engine,4,82398cc1986ac75eb799425d0d8a5f16b6387289,82398cc,funni,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/82398cc1986ac75eb799425d0d8a5f16b6387289
FNF-Phoenix-Engine,4,96a9d971017f460f5b79626491786d4ce88adfdc,96a9d97,branch: fucker,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/96a9d971017f460f5b79626491786d4ce88adfdc
FNF-Phoenix-Engine,4,1b1fa89749188b003f48ce0c15516d6b9de04870,1b1fa89,fuck,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/1b1fa89749188b003f48ce0c15516d6b9de04870
FNF-Phoenix-Engine,3,7661f3de002bb3d8b6eff52551199005e043955f,7661f3d,chore: minified all .OGG & .MP3 files (50% size reduction) + minified all .JSON files (#1580),https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/7661f3de002bb3d8b6eff52551199005e043955f
FNF-Phoenix-Engine,3,002605a10119d98bc826bbe857d40fad74f369a7,002605a,Delete compress.ps1,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/002605a10119d98bc826bbe857d40fad74f369a7
FNF-Phoenix-Engine,3,e3ba75ced39de86876bad7a2259fdd0cac4aa912,e3ba75c,"Revert ""chore: minified all .OGG & .MP3 files (50% size reduction) + minified all .JSON files (#1580)""",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/e3ba75ced39de86876bad7a2259fdd0cac4aa912
FNF-Phoenix-Engine,3,d81aacf2fa642749c1142036cf14c4bd85d55734,d81aacf,"Revert ""Delete compress.ps1""",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/d81aacf2fa642749c1142036cf14c4bd85d55734
FNF-Phoenix-Engine,3,688d9467da09651190b68a5befbc3bf5a75ccfef,688d946,"compress the audio files, again",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/688d9467da09651190b68a5befbc3bf5a75ccfef
FNF-Phoenix-Engine,2,458ddd35dfb43d2daf0e81abbdd021e5e30dea7a,458ddd3,Remove excluded images from assets,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/458ddd35dfb43d2daf0e81abbdd021e5e30dea7a
FNF-Phoenix-Engine,2,9133a46fdf112fb82f457dd782bc515d0ee95f01,9133a46,chore: minified all .JSON files,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/9133a46fdf112fb82f457dd782bc515d0ee95f01
FNF-Phoenix-Engine,1,874478a46c751aeb84feea083dffedf61eb6e5ae,874478a,based on https://github.com/oprypin/nightly.link/blob/master/.github/workflows/pr-comment.yml,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/874478a46c751aeb84feea083dffedf61eb6e5ae
FNF-Phoenix-Engine,1,592f111d6d5c4bbe09362a9eb3a38a6389e783d6,592f111,Merge branch 'JordanSantiagoYT:main' into nightly-link,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/592f111d6d5c4bbe09362a9eb3a38a6389e783d6
FNF-Phoenix-Engine,1,e020b5f8c716c089d83d14c25d3e8e1f2194cfbc,e020b5f,Merge branch 'JordanSantiagoYT:main' into nightly-link,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/e020b5f8c716c089d83d14c25d3e8e1f2194cfbc
freellmapi,2,3b9aa4cb201af8cb2a35e2236d59d62d7b7181a0,3b9aa4c,[ImgBot] Optimize images,https://github.com/havaianasdestruido/freellmapi/commit/3b9aa4cb201af8cb2a35e2236d59d62d7b7181a0
freellmapi,1,e27d942a5565bfab15708c929477b42ccf45a586,e27d942,docs: fix README grammar and spelling,https://github.com/havaianasdestruido/freellmapi/commit/e27d942a5565bfab15708c929477b42ccf45a586
Giggles-Shit,1,021ad06817d7142043b7ce2bc4eafe25e2439f49,021ad06,[ImgBot] Optimize images,https://github.com/havaianasdestruido/Giggles-Shit/commit/021ad06817d7142043b7ce2bc4eafe25e2439f49
gitgithub,3,b5da76343c699ed5fc1917bcfbcfbc130673b80d,b5da763,docs: expand TBA sections in README with Git command examples,https://github.com/havaianasdestruido/gitgithub/commit/b5da76343c699ed5fc1917bcfbcfbc130673b80d
gitgithub,2,e2d1aa0b8786d369da48008c09c5c4a8a8ad0870,e2d1aa0,fix: correcao de gramatica e ortografia no README.MD,https://github.com/havaianasdestruido/gitgithub/commit/e2d1aa0b8786d369da48008c09c5c4a8a8ad0870
gitgithub,2,74f7000ead8f6de310681dbf5279c36914149d55,74f7000,Merge branch 'main' into fix-readme-grammar-9987866976443268935,https://github.com/havaianasdestruido/gitgithub/commit/74f7000ead8f6de310681dbf5279c36914149d55
gitgithub,1,7b5cb88ce47a6367a08c9edcfa140e6c9022d068,7b5cb88,docs: add Git installation tutorials for OS platforms,https://github.com/havaianasdestruido/gitgithub/commit/7b5cb88ce47a6367a08c9edcfa140e6c9022d068
OdontoAura,70,504f8611c19fda7902be3cf4b70a61d55ec937d9,504f861,feat(frontend): configure Next.js static export & GitHub Pages workflow,https://github.com/havaianasdestruido/OdontoAura/commit/504f8611c19fda7902be3cf4b70a61d55ec937d9
OdontoAura,70,f24ea0f13368e509e62c642c7dd91577f0869ec0,f24ea0f,fix(ci): update pnpm action version and configure GitHub Pages static export,https://github.com/havaianasdestruido/OdontoAura/commit/f24ea0f13368e509e62c642c7dd91577f0869ec0
OdontoAura,70,d0f81e0f8ad022761a38077e31ae985e1d2946dc,d0f81e0,Merge branch 'main' into jules-426731085996982659-7bcf478f,https://github.com/havaianasdestruido/OdontoAura/commit/d0f81e0f8ad022761a38077e31ae985e1d2946dc
OdontoAura,65,47a83c3240b24f115e49eb3eaf5df4ffc5004fe1,47a83c3,Host frontend on GitHub Pages with Next.js static export and CI workflow,https://github.com/havaianasdestruido/OdontoAura/commit/47a83c3240b24f115e49eb3eaf5df4ffc5004fe1
OdontoAura,65,c78f62eaf5eb36f3ce1762a5bffea51e0c47dddb,c78f62e,Host frontend on GitHub Pages with Next.js static export and CI workflow,https://github.com/havaianasdestruido/OdontoAura/commit/c78f62eaf5eb36f3ce1762a5bffea51e0c47dddb
OdontoAura,65,59802b85c195337f55aaa5c68ceee7609b0334d7,59802b8,Host frontend on GitHub Pages with Next.js static export and CI workflow,https://github.com/havaianasdestruido/OdontoAura/commit/59802b85c195337f55aaa5c68ceee7609b0334d7
OdontoAura,69,cf7ab842a3feaf21c6f6ceef3d39b7d475244156,cf7ab84,"I have updated the frontend login flow to cleanly redirect users to the dashboard upon successful authentication. Specifically, I modified the login action handler in `apps/frontend/src/app/auth/login/page.tsx` to update the window location to `/dashboard`, and I also added a unit test suite to cover the login page.",https://github.com/havaianasdestruido/OdontoAura/commit/cf7ab842a3feaf21c6f6ceef3d39b7d475244156
OdontoAura,69,8e395c88961ba949ce9eeeaf7d2456815c4d0b65,8e395c8,fix(frontend): add unit tests for login page and clean up dashboard effect,https://github.com/havaianasdestruido/OdontoAura/commit/8e395c88961ba949ce9eeeaf7d2456815c4d0b65
OdontoAura,68,65a2a759b26c100adbea42f3fe6c9f8909bf6249,65a2a75,ci: update Node.js version to 22,https://github.com/havaianasdestruido/OdontoAura/commit/65a2a759b26c100adbea42f3fe6c9f8909bf6249
OdontoAura,67,2b4d5301d3ea4cd3c33c24202f2435f5b9cce931,2b4d530,fix(ci): remove explicit pnpm version from action-setup,https://github.com/havaianasdestruido/OdontoAura/commit/2b4d5301d3ea4cd3c33c24202f2435f5b9cce931
OdontoAura,66,504f8611c19fda7902be3cf4b70a61d55ec937d9,504f861,feat(frontend): configure Next.js static export & GitHub Pages workflow,https://github.com/havaianasdestruido/OdontoAura/commit/504f8611c19fda7902be3cf4b70a61d55ec937d9
OdontoAura,64,f46419fc828ab23cbfad74c56309b4b5c5c12d60,f46419f,chore(deps): bump lucide-react from 0.400.0 to 1.45.0,https://github.com/havaianasdestruido/OdontoAura/commit/f46419fc828ab23cbfad74c56309b4b5c5c12d60
OdontoAura,63,484591e47f86b194e07a6c8a02a6ab562e12e5cd,484591e,chore(deps): bump react and @types/react,https://github.com/havaianasdestruido/OdontoAura/commit/484591e47f86b194e07a6c8a02a6ab562e12e5cd
OdontoAura,62,be2259be8a673174420c4f9286411aaee37730b3,be2259b,chore(deps): bump next from 15.5.25 to 16.3.5,https://github.com/havaianasdestruido/OdontoAura/commit/be2259be8a673174420c4f9286411aaee37730b3
OdontoAura,61,00b78d9c6a810c3df08a3a15f308bfab604686a6,00b78d9,chore(deps-dev): bump autoprefixer from 10.5.4 to 10.5.6,https://github.com/havaianasdestruido/OdontoAura/commit/00b78d9c6a810c3df08a3a15f308bfab604686a6
OdontoAura,60,7a725b117b0b58da4b2bd0f7a7ca76aa422a1040,7a725b1,chore(deps): bump react-dom and @types/react-dom,https://github.com/havaianasdestruido/OdontoAura/commit/7a725b117b0b58da4b2bd0f7a7ca76aa422a1040
OdontoAura,59,a80bd65f84c417c28d1dee1d13381248d001d099,a80bd65,chore(deps-dev): bump @types/passport-jwt from 4.0.0 to 4.0.1,https://github.com/havaianasdestruido/OdontoAura/commit/a80bd65f84c417c28d1dee1d13381248d001d099
OdontoAura,58,ac63a956dbf02183ee2a0aab9452e827e2abb63a,ac63a95,chore(deps-dev): bump @types/node from 20.19.43 to 26.5.1,https://github.com/havaianasdestruido/OdontoAura/commit/ac63a956dbf02183ee2a0aab9452e827e2abb63a
OdontoAura,57,7bd8a6ee3e81a1f6a624d5a3ca388170c0c3d280,7bd8a6e,chore(deps): bump zod from 4.5.4 to 4.6.2,https://github.com/havaianasdestruido/OdontoAura/commit/7bd8a6ee3e81a1f6a624d5a3ca388170c0c3d280
OdontoAura,56,e364ec0e792836d377213cbf9ac6833a630d506f,e364ec0,chore(deps-dev): bump eslint-config-next from 15.5.25 to 16.3.5,https://github.com/havaianasdestruido/OdontoAura/commit/e364ec0e792836d377213cbf9ac6833a630d506f
OdontoAura,55,e1b583493c15c57aee56b59a11cdb0e4881ae9cf,e1b5834,chore(deps-dev): bump @typescript-eslint/eslint-plugin,https://github.com/havaianasdestruido/OdontoAura/commit/e1b583493c15c57aee56b59a11cdb0e4881ae9cf
OdontoAura,54,58938066ca7c82311205db074a4fbdf8b06359cf,5893806,chore(deps-dev): bump @typescript-eslint/parser from 8.69.0 to 8.70.0,https://github.com/havaianasdestruido/OdontoAura/commit/58938066ca7c82311205db074a4fbdf8b06359cf
OdontoAura,53,37a2f07a3b508b710135ca91bf221ccc15f835d4,37a2f07,chore(deps-dev): bump @nestjs/schematics from 10.2.3 to 12.0.1,https://github.com/havaianasdestruido/OdontoAura/commit/37a2f07a3b508b710135ca91bf221ccc15f835d4
OdontoAura,52,d937d12d845d79f0e3ef6274c919993c440bd606,d937d12,chore(deps): bump actions/github-script from 6 to 9,https://github.com/havaianasdestruido/OdontoAura/commit/d937d12d845d79f0e3ef6274c919993c440bd606
OdontoAura,51,ca21f08d3da8603d9ff00218d6b31b9f47e9718e,ca21f08,chore(deps): bump actions/dependency-review-action from 4 to 5,https://github.com/havaianasdestruido/OdontoAura/commit/ca21f08d3da8603d9ff00218d6b31b9f47e9718e
OdontoAura,50,d2a93ee250cb39b223528e4a69665e4dc5db31ab,d2a93ee,chore(deps): bump actions/labeler from 4 to 7,https://github.com/havaianasdestruido/OdontoAura/commit/d2a93ee250cb39b223528e4a69665e4dc5db31ab
OdontoAura,49,36171de0ae0e8415386888655c0ec4a8f7494a59,36171de,chore(deps): bump actions/checkout from 4 to 7,https://github.com/havaianasdestruido/OdontoAura/commit/36171de0ae0e8415386888655c0ec4a8f7494a59
orelha,1,dee20af3633d20f0fcd76b1c06b48805c60ca791,dee20af,[ImgBot] Optimize images,https://github.com/havaianasdestruido/orelha/commit/dee20af3633d20f0fcd76b1c06b48805c60ca791
Quack3DMM,1,9dd932827b3a2b121581b6d46db4e2f22af36b0d,9dd9328,[ImgBot] Optimize images,https://github.com/havaianasdestruido/Quack3DMM/commit/9dd932827b3a2b121581b6d46db4e2f22af36b0d
R2K16,2,d7f519da3b8d2c4b6b201c655273292229b4619d,d7f519d,Bump the npm_and_yarn group across 2 directories with 3 updates,https://github.com/havaianasdestruido/R2K16/commit/d7f519da3b8d2c4b6b201c655273292229b4619d
R2K16,1,7868b756bd7dc1cdcfe5292e0025046d640bdede,7868b75,Bump the npm_and_yarn group across 2 directories with 3 updates,https://github.com/havaianasdestruido/R2K16/commit/7868b756bd7dc1cdcfe5292e0025046d640bdede
Rbx2Source-enhanced,1,66c6a125faa3778f543762e13a1a0afc93e399e6,66c6a12,[ImgBot] Optimize images,https://github.com/havaianasdestruido/Rbx2Source-enhanced/commit/66c6a125faa3778f543762e13a1a0afc93e399e6
Sonic4,1,b8761650af88efeb084aa64d23a411cbb9d30987,b876165,[ImgBot] Optimize images,https://github.com/havaianasdestruido/Sonic4/commit/b8761650af88efeb084aa64d23a411cbb9d30987
steamlogger,1,da63afce1905635b901bc16af104022937168df1,da63afc,Tolerate brief missing Steam game polls,https://github.com/havaianasdestruido/steamlogger/commit/da63afce1905635b901bc16af104022937168df1
