repo,state,status,number,title,user,created_at,base_branch,head_branch,commit_count,url
OdontoAura,open,open,70,Jules 426731085996982659 7bcf478f,havaianasdestruido,2026-09-15T17:51:09Z,main,jules-426731085996982659-7bcf478f,3,https://github.com/havaianasdestruido/OdontoAura/pull/70
OdontoAura,open,open,65,Host frontend on GitHub Pages,havaianasdestruido,2026-09-15T16:42:35Z,main,host-frontend-github-pages-7416436364491725714,3,https://github.com/havaianasdestruido/OdontoAura/pull/65
OdontoAura,closed,merged,69,fix(frontend): update login navigation to redirect cleanly to dashboard,havaianasdestruido,2026-09-15T17:22:47Z,main,fix-login-redirect-flow-1754381547150028108,2,https://github.com/havaianasdestruido/OdontoAura/pull/69
OdontoAura,closed,merged,68,ci: update Node.js version to 22 across GitHub workflows,morelloettore,2026-09-15T17:22:23Z,main,ci/update-node-22-7424374546274977733,1,https://github.com/havaianasdestruido/OdontoAura/pull/68
OdontoAura,closed,merged,67,fix(ci): remove explicit pnpm version from action-setup,havaianasdestruido,2026-09-15T17:00:57Z,main,fix/pnpm-action-setup-version-mismatch-5954893924324974857,1,https://github.com/havaianasdestruido/OdontoAura/pull/67
OdontoAura,closed,merged,66,Configure Frontend for GitHub Pages Deployment,havaianasdestruido,2026-09-15T16:48:15Z,main,jules-426731085996982659-7bcf478f,1,https://github.com/havaianasdestruido/OdontoAura/pull/66
OdontoAura,closed,merged,64,chore(deps): bump lucide-react from 0.400.0 to 1.45.0,dependabot[bot],2026-09-14T18:44:22Z,main,dependabot/npm_and_yarn/lucide-react-1.45.0,1,https://github.com/havaianasdestruido/OdontoAura/pull/64
OdontoAura,closed,merged,63,chore(deps): bump react and @types/react,dependabot[bot],2026-09-14T18:43:36Z,main,dependabot/npm_and_yarn/multi-7f19880bf6,1,https://github.com/havaianasdestruido/OdontoAura/pull/63
OdontoAura,closed,merged,62,chore(deps): bump next from 15.5.25 to 16.3.5,dependabot[bot],2026-09-14T18:43:12Z,main,dependabot/npm_and_yarn/next-16.3.5,1,https://github.com/havaianasdestruido/OdontoAura/pull/62
OdontoAura,closed,merged,61,chore(deps-dev): bump autoprefixer from 10.5.4 to 10.5.6,dependabot[bot],2026-09-14T18:42:20Z,main,dependabot/npm_and_yarn/autoprefixer-10.5.6,1,https://github.com/havaianasdestruido/OdontoAura/pull/61
OdontoAura,closed,merged,60,chore(deps): bump react-dom and @types/react-dom,dependabot[bot],2026-09-14T18:41:36Z,main,dependabot/npm_and_yarn/multi-de36fa8f59,1,https://github.com/havaianasdestruido/OdontoAura/pull/60
OdontoAura,closed,merged,59,chore(deps-dev): bump @types/passport-jwt from 4.0.0 to 4.0.1,dependabot[bot],2026-09-14T18:41:11Z,main,dependabot/npm_and_yarn/types/passport-jwt-4.0.1,1,https://github.com/havaianasdestruido/OdontoAura/pull/59
OdontoAura,closed,merged,58,chore(deps-dev): bump @types/node from 20.19.43 to 26.5.1,dependabot[bot],2026-09-14T18:40:07Z,main,dependabot/npm_and_yarn/types/node-26.5.1,1,https://github.com/havaianasdestruido/OdontoAura/pull/58
OdontoAura,closed,merged,57,chore(deps): bump zod from 4.5.4 to 4.6.2,dependabot[bot],2026-09-14T18:39:26Z,main,dependabot/npm_and_yarn/zod-4.6.2,1,https://github.com/havaianasdestruido/OdontoAura/pull/57
OdontoAura,closed,merged,56,chore(deps-dev): bump eslint-config-next from 15.5.25 to 16.3.5,dependabot[bot],2026-09-14T18:39:12Z,main,dependabot/npm_and_yarn/eslint-config-next-16.3.5,1,https://github.com/havaianasdestruido/OdontoAura/pull/56
OdontoAura,closed,merged,55,chore(deps-dev): bump @typescript-eslint/eslint-plugin from 8.69.0 to 8.70.0,dependabot[bot],2026-09-14T18:38:44Z,main,dependabot/npm_and_yarn/typescript-eslint/eslint-plugin-8.70.0,1,https://github.com/havaianasdestruido/OdontoAura/pull/55
OdontoAura,closed,merged,54,chore(deps-dev): bump @typescript-eslint/parser from 8.69.0 to 8.70.0,dependabot[bot],2026-09-14T18:38:21Z,main,dependabot/npm_and_yarn/typescript-eslint/parser-8.70.0,1,https://github.com/havaianasdestruido/OdontoAura/pull/54
OdontoAura,closed,merged,53,chore(deps-dev): bump @nestjs/schematics from 10.2.3 to 12.0.1,dependabot[bot],2026-09-14T18:37:32Z,main,dependabot/npm_and_yarn/nestjs/schematics-12.0.1,1,https://github.com/havaianasdestruido/OdontoAura/pull/53
OdontoAura,closed,merged,52,chore(deps): bump actions/github-script from 6 to 9,dependabot[bot],2026-09-14T18:37:10Z,main,dependabot/github_actions/actions/github-script-9,1,https://github.com/havaianasdestruido/OdontoAura/pull/52
OdontoAura,closed,merged,51,chore(deps): bump actions/dependency-review-action from 4 to 5,dependabot[bot],2026-09-14T18:37:06Z,main,dependabot/github_actions/actions/dependency-review-action-5,1,https://github.com/havaianasdestruido/OdontoAura/pull/51
OdontoAura,closed,merged,50,chore(deps): bump actions/labeler from 4 to 7,dependabot[bot],2026-09-14T18:36:50Z,main,dependabot/github_actions/actions/labeler-7,1,https://github.com/havaianasdestruido/OdontoAura/pull/50
OdontoAura,closed,merged,49,chore(deps): bump actions/checkout from 4 to 7,dependabot[bot],2026-09-14T18:36:45Z,main,dependabot/github_actions/actions/checkout-7,1,https://github.com/havaianasdestruido/OdontoAura/pull/49
orelha,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:03:18Z,main,imgbot,1,https://github.com/havaianasdestruido/orelha/pull/1
Quack3DMM,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-20T16:42:49Z,main,imgbot,1,https://github.com/havaianasdestruido/Quack3DMM/pull/1
R2K16,open,open,2,Bump the npm_and_yarn group across 2 directories with 3 updates,dependabot[bot],2026-09-20T15:33:33Z,main,dependabot/npm_and_yarn/RobloxHybrid/docs/jaguar/npm_and_yarn-b258cd4ece,1,https://github.com/havaianasdestruido/R2K16/pull/2
R2K16,closed,closed,1,Bump the npm_and_yarn group across 2 directories with 3 updates,dependabot[bot],2026-09-15T18:16:56Z,main,dependabot/npm_and_yarn/RobloxHybrid/docs/jsdoc/npm_and_yarn-b258cd4ece,1,https://github.com/havaianasdestruido/R2K16/pull/1
Rbx2Source-enhanced,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:03:08Z,experimental,imgbot,1,https://github.com/havaianasdestruido/Rbx2Source-enhanced/pull/1
Sonic4,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:04:23Z,main,imgbot,1,https://github.com/havaianasdestruido/Sonic4/pull/1
steamlogger,open,open,1,Tolerate brief missing Steam current-game polls,havaianasdestruido,2026-08-14T22:37:25Z,main,codex/investigar-problema-de-log,1,https://github.com/havaianasdestruido/steamlogger/pull/1
